model,recall,f1,roc_auc,avg_precision,train_seconds,predict_ms_per_1000
ANN,0.48588709677419356,0.17279482383345712,0.5228345413395978,0.11366448804340389,0.7545896875017206,24.129716600873508
DNN,0.5020161290322581,0.17470783471879664,0.5324156305506216,0.12257122969867158,1.2211617915017996,38.585366602637805
Decision Tree,0.5,0.19936594027441484,0.5805475777803243,0.1343217607475954,0.07202549999783514,10.407241596840322
Logistic Regression,0.5625,0.2442627745337335,0.6689752478083997,0.20355738230123177,0.07290858300257241,7.087875000433996
Random Forest,0.342741935483871,0.2332671726455629,0.6519205150976909,0.1694175855718091,0.24364468749263324,17.272833400056697
SMOTE + Decision Tree,0.2777777777777778,0.198,0.5780614132445431,0.14031216731733515,0.050544374993478414,12.997041994822212
SMOTE + Logistic Regression,0.5101010101010102,0.247939993869566,0.6842061009652574,0.23045393785789584,0.21050097949773772,15.093458503542934
SMOTE + Random Forest,0.24242424242424243,0.21187915216703576,0.6638247065550062,0.17747308869454384,0.24873054150521057,30.97320799861336
SMOTE + XGBoost,0.1616161616161616,0.17418967587034814,0.6393289162434557,0.17560115329750606,0.3627706249972107,11.669750507280696
XGBoost,0.18548387096774194,0.18692880091891262,0.6236638221222712,0.15459476977229417,0.3052220625031623,6.68262500257697
